country_code,country_name,region,colonial_history,width,height,aspect_ratio,hex_colors,color_percentages,unique_colors,most_common_color,has_red,has_blue,has_green,has_yellow,has_white,has_black,has_orange,has_purple,horizontal_symmetry,vertical_symmetry,horizontal_stripes,vertical_stripes,cross,saltire,canton,circle,star,crescent,triangle,emblem,aspect_ratio_category,horizontal_symmetry_level,vertical_symmetry_level,complexity_score
lt,lt,Unknown,Unknown,600,360,1.6666666666666667,"['#036a38', '#bd3a33', '#feb81b', '#156b36', '#eab21e']","[0.3, 0.3333333333333333, 0.31666666666666665, 0.03333333333333333, 0.016666666666666666]",3,green,True,False,True,True,False,False,False,False,0.7647058823529411,1.0,True,False,True,False,True,False,False,False,False,False,3:5,Medium,High,5
lu,lu,Unknown,Unknown,600,360,1.6666666666666667,"['#fdfefe', '#ef323f', '#00a3e0', '#fdeff0', '#ef434f']","[0.31666666666666665, 0.31666666666666665, 0.3333333333333333, 0.016666666666666666, 0.016666666666666666]",3,white,True,True,False,False,True,False,False,False,0.3620915032679739,1.0,True,False,True,False,True,False,False,False,False,False,3:5,Low,High,5
lv,lv,Unknown,Unknown,600,300,2.0,"['#9c1f31', '#fffefe', '#a53345', '#f7edef', '#9c2235']","[0.03333333333333333, 0.16666666666666666, 0.03333333333333333, 0.03333333333333333, 0.7333333333333333]",2,red,True,False,False,False,True,False,False,False,1.0,1.0,True,False,True,False,True,False,False,False,False,False,1:2,High,High,4
ly,ly,Unknown,Unknown,600,300,2.0,"['#e50012', '#000000', '#229d45', '#e6e6e6', '#676767']","[0.25, 0.484, 0.25, 0.009333333333333334, 0.006666666666666667]",5,red,True,False,True,False,True,True,False,False,0.5757096296296296,0.9900479302832244,True,False,False,False,False,False,True,False,False,False,1:2,Low,High,7
ma,Morocco,Africa,French,600,400,1.5,"['#b7302b', '#046341', '#425039', '#7d4032', '#1d5a3d']","[0.958, 0.012666666666666666, 0.010666666666666666, 0.009666666666666667, 0.009]",4,green,True,False,True,False,False,False,False,False,0.9745962091503269,0.9988953594771242,False,False,False,False,False,False,False,False,False,False,2:3,High,High,4
mc,mc,Unknown,Unknown,600,480,1.25,"['#cd1126', '#feffff', '#d12337', '#faecee', '#cd0d22']","[0.4666666666666667, 0.48333333333333334, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666]",2,red,True,False,False,False,True,False,False,False,0.6980392156862745,1.0,True,False,False,False,True,False,False,False,False,False,Other,Low,High,3
md,md,Unknown,Unknown,600,300,2.0,"['#6a512f', '#003ca4', '#fed100', '#c7102d', '#be8f1c']","[0.04416666666666667, 0.33416666666666667, 0.23916666666666667, 0.3368333333333333, 0.04566666666666667]",3,red,True,True,False,True,False,False,False,False,0.9641122440087146,0.34866544662309373,False,True,True,False,True,False,True,False,True,True,1:2,High,Low,7
me,me,Unknown,Unknown,600,300,2.0,"['#d2aa39', '#c30308', '#c48832', '#617661', '#c7501f']","[0.16883333333333334, 0.7403333333333333, 0.035666666666666666, 0.010333333333333333, 0.044833333333333336]",3,red,True,False,False,True,False,False,False,False,0.9439713725490196,0.9750647930283225,True,True,False,False,False,False,True,False,True,True,1:2,High,High,7
mg,mg,Unknown,Unknown,600,400,1.5,"['#fb3d31', '#fefefe', '#007d39', '#56a87c', '#fc7e77']","[0.33, 0.33, 0.33, 0.005, 0.005]",3,red,True,False,True,False,True,False,False,False,0.9058823529411765,0.592156862745098,False,True,True,False,True,False,False,False,False,False,2:3,High,Low,5
mh,mh,Unknown,Unknown,600,315,1.9047619047619047,"['#003086', '#fcfbfb', '#e17207', '#aab2c7', '#486096']","[0.715, 0.11916666666666667, 0.10383333333333333, 0.0305, 0.0315]",4,blue,True,True,False,False,True,False,False,False,0.769966737438075,0.8169849569457412,True,True,False,False,False,False,False,False,False,True,Other,Medium,Medium,7
mk,mk,Unknown,Unknown,600,300,2.0,"['#d72026', '#f8e92d', '#e67c29', '#efb32b', '#de4a27']","[0.6313333333333333, 0.2806666666666667, 0.028, 0.03133333333333333, 0.028666666666666667]",2,red,True,False,False,True,False,False,False,False,0.998876688453159,0.9909999128540306,True,True,False,False,False,False,True,False,False,False,1:2,High,High,5
ml,ml,Unknown,Unknown,600,400,1.5,"['#fcd115', '#13b43a', '#cd1026', '#aec822', '#ed901b']","[0.32, 0.33, 0.33, 0.01, 0.01]",3,green,True,False,True,True,False,False,False,False,1.0,0.8875816993464052,False,True,True,False,False,False,False,False,False,False,2:3,High,High,5
mm,mm,Unknown,Unknown,600,400,1.5,"['#fefefd', '#e92839', '#fdca00', '#35b133', '#ced4b2']","[0.09066666666666667, 0.31266666666666665, 0.327, 0.254, 0.015666666666666666]",4,green,True,False,True,True,True,False,False,False,0.7152883660130719,0.9984321568627451,True,True,False,False,True,False,False,False,False,False,2:3,Medium,High,6
mn,mn,Unknown,Unknown,600,300,2.0,"['#0066b3', '#da2031', '#fdd202', '#494e88', '#ec7c19']","[0.32, 0.5823333333333334, 0.0525, 0.02, 0.025166666666666667]",3,blue,True,True,False,True,False,False,False,False,0.9591901089324619,0.9424793464052288,False,True,False,False,False,False,True,False,False,True,1:2,High,High,6
mr,mr,Unknown,Unknown,600,400,1.5,"['#01a85b', '#ce1c1f', '#fad601', '#a1c621', '#41b444']","[0.536, 0.4, 0.043, 0.011666666666666667, 0.009333333333333334]",3,green,True,False,True,True,False,False,False,False,0.9488385947712419,0.9982425163398693,True,False,True,False,False,False,True,False,False,False,2:3,High,High,6
